ID,taskType_ID,sequence,name,description,functionType_code,autoRun,executeCondition,model_ID,outputContextPath,contextType_code,isRAGEnabled,ragClass,ragSource,ragParameter,ragTopK,ragThreshold,ragOutputContextPath,implementationClass,subTaskType_ID
66d25e87-6a16-452d-8205-7fc72a0a40e0,7fdcfbbd-4553-4936-9702-97ecfba2a266,1,GetRagData,Get RAG Data,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:ragViewList,,TRUE,customer.ai2code.service.impl.rag.RAGCDSViewExtractorImpl,,{{SubContext:description}},1,0.65,,customer.ai2code.service.impl.execution.ExtractViewDetailExecution,
ce0fb2d9-3a6a-453d-816f-d8829d94532a,7fdcfbbd-4553-4936-9702-97ecfba2a266,2,GetViewFields,Get view list and fields list,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:tableFields,markdown,FALSE,,,,,,,,
857fea03-0866-034d-614b-0acaccec984a,b105869c-26ef-8ec6-584c-e71578454418,2,GetViewFields,Get view list and fields list,A,,,5e256932-15b9-4145-ba49-966216ea9cf6,SubContext:tableFields,MARKDOWN,FALSE,customer.ai2code.service.impl.rag.RAGViewFieldExtractorImpl,,{{SubContext:requirement.rag}},100,0.65,{{SubContext:viewfields.rag}},,
b5235b6d-8417-cdd9-2cbb-390b10dcdb7c,b105869c-26ef-8ec6-584c-e71578454418,3,GenerateCDS_I,Generate inertace view CDS,A,,,5e256932-15b9-4145-ba49-966216ea9cf6,SubContext:iView,code,FALSE,,,,,,,,
46056f98-9882-4e08-80cb-3ca1790b0cc7,b105869c-26ef-8ec6-584c-e71578454418,1,GetRagData,Get RAG Data,F,FALSE,,5e256932-15b9-4145-ba49-966216ea9cf6,SubContext:ragViewList,,TRUE,customer.ai2code.service.impl.rag.RAGCDSViewExtractorImpl,,{{SubContext:requirement}},10,0.65,,customer.ai2code.service.impl.execution.ExtractViewDetailExecution,
a6b72206-c38e-6224-bb2f-7d7e85cc809a,b105869c-26ef-8ec6-584c-e71578454418,4,GenerateCDS_C,Generate consumption view CDS,A,,,5e256932-15b9-4145-ba49-966216ea9cf6,SubContext:cView,code,FALSE,,,,,,,,
feaa3f61-867d-493b-874a-2d0496ad69de,31ebf183-a1db-46c0-a335-d2bfb5d29e23,2,SplitSubTask,Split requirement as single level,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:subtask,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,7fdcfbbd-4553-4936-9702-97ecfba2a266
6fbd1e39-798d-4809-8ef0-31f499af35c2,31ebf183-a1db-46c0-a335-d2bfb5d29e23,3,GenerateCDS,Generate CDS,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:CDScode,code,FALSE,,,,,,,,
3d5ae3d7-8046-4399-a981-0cd9a70f007a,31ebf183-a1db-46c0-a335-d2bfb5d29e23,1,ChatGetRequirement,Get Requirement,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:requirement,markdown,FALSE,,,,,,,,
9d0cbb6d-1e17-485e-ab1e-b681eca15c7a,31ebf183-a1db-46c0-a335-d2bfb5d29e23,4,ActivateCDS,Activate CDS,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateCdsOdataBotExecution,
9e50305f-adbe-492d-8b43-6eeffbad3649,1719b53c-1849-4779-babb-d1b1eb0e49e8,2,GetTableDesign,GetTableDesign,A,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:tableDesgin,markdown,FALSE,,,,,,,,
7717bce5-1b05-410c-9dbb-2a34eaced5fc,1719b53c-1849-4779-babb-d1b1eb0e49e8,3,SplitSubTaskTable,Split requirement as single table,F,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:subtasktable,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,e8faa75e-c837-4f36-9193-6f577a88ddc8
902f55e6-b100-46dd-a5fd-5a480192a2de,1719b53c-1849-4779-babb-d1b1eb0e49e8,4,GenerateCDSI,GenerateCDSI,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:CDSIcode,code,FALSE,,,,,,,,
8821be39-7730-418a-964e-e8ecc96c59a1,1719b53c-1849-4779-babb-d1b1eb0e49e8,5,GenerateCDSC,GenerateCDSC,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:CDSCcode,code,FALSE,,,,,,,,
ea34bc7d-51e3-4eb6-a9f2-05b3fd9540bc,1719b53c-1849-4779-babb-d1b1eb0e49e8,6,Generate_save_modify,generate_save_modify,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:save_modify,code,FALSE,,,,,,,,
2b5d0efd-0fa8-466a-b1e1-1412b1d17d64,1719b53c-1849-4779-babb-d1b1eb0e49e8,1,GetRequirement,GetRequirement,A,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:requirement,markdown,TRUE,customer.ai2code.service.impl.rag.RAGCDSViewExtractorImpl,,{{SubContext:description}},1,0.5,SubContext:ragViewList,,
